rater,set,trait,severity,infit_msq,outfit_msq,n_observation,severity_se
llama,8,conventions,-0.123599,1.298790,1.320492,723,0.043200
llama,7,conventions,-0.116432,0.892462,0.870298,1569,0.064982
llama,1,conventions,-0.118637,0.999497,1.025775,1783,0.052741
llama,2,conventions,-0.105822,1.194812,1.185133,1799,0.069361
llama,8,ideas,-0.096858,2.276398,1.983066,723,0.048310
llama,7,ideas,-0.060119,1.141198,1.091745,1569,0.041123
llama,6,language,-0.055737,1.688756,1.467902,1800,0.037632
llama,5,language,-0.054697,1.316960,1.226829,1805,0.062331
llama,4,language,-0.105144,0.978257,0.952844,1772,0.074913
llama,3,language,-0.042929,0.783910,0.776213,1725,0.069432
llama,6,narrativity,-0.041165,1.542961,1.429380,1800,0.023608
llama,5,narrativity,-0.031676,0.986398,0.955170,1805,0.038840
llama,4,narrativity,-0.057905,0.746810,0.719097,1772,0.056450
llama,3,narrativity,0.006627,0.626141,0.601249,1725,0.075634
llama,8,organization,-0.104331,2.453852,2.096258,723,0.036200
llama,7,organization,-0.089788,1.328251,1.238654,1569,0.032450
llama,1,organization,-0.133663,1.772150,1.504500,1783,0.048370
llama,2,organization,-0.088715,1.889714,1.606283,1799,0.045756
llama,6,prompt adherence,0.051439,1.774375,1.493314,1800,0.036573
llama,5,prompt adherence,-0.006534,1.306257,1.163695,1805,0.030908
llama,4,prompt adherence,0.007636,0.941137,0.871479,1772,0.022165
llama,3,prompt adherence,0.024803,0.957454,0.890746,1725,0.034262
llama,8,sentence fluency,-0.102339,1.954241,1.689664,723,0.035144
llama,1,sentence fluency,-0.109563,1.388717,1.249611,1783,0.041793
llama,2,sentence fluency,-0.086555,1.414598,1.338619,1799,0.046555
llama,7,style,-0.088377,0.926677,0.893077,1569,0.041511
llama,8,voice,-0.008153,2.048590,1.707889,723,0.033478
llama,8,word choice,-0.092459,1.628699,1.473918,723,0.034555
llama,1,word choice,-0.096063,1.422204,1.258345,1783,0.040815
llama,2,word choice,-0.087005,1.438371,1.311175,1799,0.054038
